Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,sample_name,age,biological_replicate,ecotype,sample_type
DRR395066,54780401,1219192217,22,598,DRX380845,"Ribo-seq of Arabiodpsis thaliana seedling: hy5 mutant, dark condition, rep1",OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,DRP008835,PRJDB13770,1,"",DRS248902,SAMD00505481,simple,3702,Arabidopsis thaliana,SAMD00505481,RIKEN Center for Sustainable Resource Science,DRA014541,08,2022,Makar,"","Ribo-seq of Arabiodpsis thaliana seedling: hy5 mutant, dark condition rep1",BioSample_0016,3-day-old,1,Col-0,Whole plant
DRR395067,16153990,352301008,21,174,DRX380846,"Ribo-seq of Arabiodpsis thaliana seedling: hy5 mutant, dark condition, rep2",OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,DRP008835,PRJDB13770,1,"",DRS248903,SAMD00505482,simple,3702,Arabidopsis thaliana,SAMD00505482,RIKEN Center for Sustainable Resource Science,DRA014541,08,2022,Makar,"","Ribo-seq of Arabiodpsis thaliana seedling: hy5 mutant, dark condition rep2",BioSample_0017,3-day-old,2,Col-0,Whole plant
DRR395068,23376348,7012904400,150,2865,DRX380847,"RNA-seq of Arabiodpsis thaliana seedling: wild-type (WT), blue-light irradation, rep1",RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,DRP008835,PRJDB13770,1,"",DRS248904,SAMD00505484,simple,3702,Arabidopsis thaliana,SAMD00505484,RIKEN Center for Sustainable Resource Science,DRA014541,08,2022,Makar,"","RNA-seq of Arabiodpsis thaliana seedling: wild-type (WT), blue-light irradation rep1",BioSample_0019,3-day-old,1,Col-0,Whole plant
DRR395069,21813284,6543985200,150,2664,DRX380848,"RNA-seq of Arabiodpsis thaliana seedling: wild-type (WT), blue-light irradation, rep2",RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,DRP008835,PRJDB13770,1,"",DRS248905,SAMD00505485,simple,3702,Arabidopsis thaliana,SAMD00505485,RIKEN Center for Sustainable Resource Science,DRA014541,08,2022,Makar,"","RNA-seq of Arabiodpsis thaliana seedling: wild-type (WT), blue-light irradation rep2",BioSample_0020,3-day-old,2,Col-0,Whole plant
DRR395070,23979928,7193978400,150,2925,DRX380849,"RNA-seq of Arabiodpsis thaliana seedling: wild-type (WT), dark condition, rep1",RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,DRP008835,PRJDB13770,1,"",DRS248906,SAMD00505487,simple,3702,Arabidopsis thaliana,SAMD00505487,RIKEN Center for Sustainable Resource Science,DRA014541,08,2022,Makar,"","RNA-seq of Arabiodpsis thaliana seedling: wild-type (WT), dark condition rep1",BioSample_0022,3-day-old,1,Col-0,Whole plant
DRR395071,17302617,5190785100,150,2094,DRX380850,"RNA-seq of Arabiodpsis thaliana seedling: wild-type (WT), dark condition, rep2",RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,DRP008835,PRJDB13770,1,"",DRS248907,SAMD00505488,simple,3702,Arabidopsis thaliana,SAMD00505488,RIKEN Center for Sustainable Resource Science,DRA014541,08,2022,Makar,"","RNA-seq of Arabiodpsis thaliana seedling: wild-type (WT), dark condition rep2",BioSample_0023,3-day-old,2,Col-0,Whole plant
DRR395072,24729416,7418824800,150,3059,DRX380851,"RNA-seq of Arabiodpsis thaliana seedling: cry1cry2 mutant, blue-light irradation, rep1",RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,DRP008835,PRJDB13770,1,"",DRS248908,SAMD00505490,simple,3702,Arabidopsis thaliana,SAMD00505490,RIKEN Center for Sustainable Resource Science,DRA014541,08,2022,Makar,"","RNA-seq of Arabiodpsis thaliana seedling: cry1cry2 mutant, blue-light irradation rep1",BioSample_0025,3-day-old,1,Col-0,Whole plant
DRR395073,26041123,7812336900,150,3194,DRX380852,"RNA-seq of Arabiodpsis thaliana seedling: cry1cry2 mutant, blue-light irradation, rep2",RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,DRP008835,PRJDB13770,1,"",DRS248909,SAMD00505491,simple,3702,Arabidopsis thaliana,SAMD00505491,RIKEN Center for Sustainable Resource Science,DRA014541,08,2022,Makar,"","RNA-seq of Arabiodpsis thaliana seedling: cry1cry2 mutant, blue-light irradation rep2",BioSample_0026,3-day-old,2,Col-0,Whole plant
DRR395074,18407932,5522379600,150,2287,DRX380853,"RNA-seq of Arabiodpsis thaliana seedling: cry1cry2 mutant, dark condition, rep1",RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,DRP008835,PRJDB13770,1,"",DRS248910,SAMD00505493,simple,3702,Arabidopsis thaliana,SAMD00505493,RIKEN Center for Sustainable Resource Science,DRA014541,08,2022,Makar,"","RNA-seq of Arabiodpsis thaliana seedling: cry1cry2 mutant, dark condition rep1",BioSample_0028,3-day-old,1,Col-0,Whole plant
DRR395075,22795966,6838789800,150,2804,DRX380854,"RNA-seq of Arabiodpsis thaliana seedling: cry1cry2 mutant, dark condition, rep2",RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,DRP008835,PRJDB13770,1,"",DRS248911,SAMD00505494,simple,3702,Arabidopsis thaliana,SAMD00505494,RIKEN Center for Sustainable Resource Science,DRA014541,08,2022,Makar,"","RNA-seq of Arabiodpsis thaliana seedling: cry1cry2 mutant, dark condition rep2",BioSample_0029,3-day-old,2,Col-0,Whole plant
