Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,age,tissue,GEO Accession
SRR11869343,41831570,3137367750,75,1245,SRX5145199,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP173659,PRJNA510416,32576685,"",SRS4155580,SAMN10604394,simple,10090,Mus musculus,GSM3518152,GEO,SRA824405,06,2020,Anisimova,Liver,liver_10m_1_rna,Liver,C57BL/6,11 months,Liver,GSM3518152
SRR11869344,11717807,878835525,75,350,SRX5145200,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP173659,PRJNA510416,32576685,"",SRS4155581,SAMN10604393,simple,10090,Mus musculus,GSM3518153,GEO,SRA824405,06,2020,Anisimova,Liver,liver_10m_2_ribo,Liver,C57BL/6,11 months,Liver,GSM3518153
SRR11869345,62228914,4978313120,80,2109,SRX5145201,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP173659,PRJNA510416,32576685,"",SRS4155582,SAMN10604392,simple,10090,Mus musculus,GSM3518154,GEO,SRA824405,06,2020,Anisimova,Liver,liver_10m_2_rna,Liver,C57BL/6,11 months,Liver,GSM3518154
SRR11869346,14408665,1080649875,75,431,SRX5145202,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP173659,PRJNA510416,32576685,"",SRS4155583,SAMN10604391,simple,10090,Mus musculus,GSM3518155,GEO,SRA824405,06,2020,Anisimova,Liver,liver_10m_3_ribo,Liver,C57BL/6,11 months,Liver,GSM3518155
SRR11869347,20758783,1556908725,75,664,SRX5145203,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP173659,PRJNA510416,32576685,"",SRS4155584,SAMN10604390,simple,10090,Mus musculus,GSM3518156,GEO,SRA824405,06,2020,Anisimova,Liver,liver_10m_3_rna,Liver,C57BL/6,11 months,Liver,GSM3518156
SRR11869348,34865200,1778125200,51,1279,SRX5145204,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP173659,PRJNA510416,32576685,"",SRS4155585,SAMN10604389,simple,10090,Mus musculus,GSM3518157,GEO,SRA824405,06,2020,Anisimova,Liver,liver_1m_1_ribo,Liver,C57BL/6,1 month,Liver,GSM3518157
SRR11869349,21485732,1611429900,75,679,SRX5145205,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP173659,PRJNA510416,32576685,"",SRS4155586,SAMN10604388,simple,10090,Mus musculus,GSM3518158,GEO,SRA824405,06,2020,Anisimova,Liver,liver_1m_1_rna,Liver,C57BL/6,1 month,Liver,GSM3518158
SRR11869350,15654801,1174110075,75,470,SRX5145206,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP173659,PRJNA510416,32576685,"",SRS4155587,SAMN10604387,simple,10090,Mus musculus,GSM3518159,GEO,SRA824405,06,2020,Anisimova,Liver,liver_1m_2_ribo,Liver,C57BL/6,1 month,Liver,GSM3518159
SRR11869351,28823506,2161762950,75,912,SRX5145207,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP173659,PRJNA510416,32576685,"",SRS4155588,SAMN10604386,simple,10090,Mus musculus,GSM3518160,GEO,SRA824405,06,2020,Anisimova,Liver,liver_1m_2_rna,Liver,C57BL/6,1 month,Liver,GSM3518160
SRR11869352,20597844,1544838300,75,616,SRX5145208,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP173659,PRJNA510416,32576685,"",SRS4155589,SAMN10604385,simple,10090,Mus musculus,GSM3518161,GEO,SRA824405,06,2020,Anisimova,Liver,liver_1m_3_ribo,Liver,C57BL/6,1 month,Liver,GSM3518161
SRR11869353,33068354,2480126550,75,989,SRX5145209,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP173659,PRJNA510416,32576685,"",SRS4155590,SAMN10604384,simple,10090,Mus musculus,GSM3518162,GEO,SRA824405,06,2020,Anisimova,Liver,liver_1m_3_rna,Liver,C57BL/6,1 month,Liver,GSM3518162
SRR11869354,32845994,1675145694,51,1195,SRX5145210,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP173659,PRJNA510416,32576685,"",SRS4155591,SAMN10604383,simple,10090,Mus musculus,GSM3518163,GEO,SRA824405,06,2020,Anisimova,Liver,liver_20m_1_ribo,Liver,C57BL/6,20 months,Liver,GSM3518163
SRR11869355,38013384,2851003800,75,1133,SRX5145211,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP173659,PRJNA510416,32576685,"",SRS4155592,SAMN10604382,simple,10090,Mus musculus,GSM3518164,GEO,SRA824405,06,2020,Anisimova,Liver,liver_20m_1_rna,Liver,C57BL/6,20 months,Liver,GSM3518164
SRR11869356,48036542,2449863642,51,1674,SRX5145212,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP173659,PRJNA510416,32576685,"",SRS4155593,SAMN10604381,simple,10090,Mus musculus,GSM3518165,GEO,SRA824405,06,2020,Anisimova,Liver,liver_20m_2_ribo,Liver,C57BL/6,20 months,Liver,GSM3518165
SRR11869357,22919233,1718942475,75,723,SRX5145213,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP173659,PRJNA510416,32576685,"",SRS4155594,SAMN10604380,simple,10090,Mus musculus,GSM3518166,GEO,SRA824405,06,2020,Anisimova,Liver,liver_20m_2_rna,Liver,C57BL/6,20 months,Liver,GSM3518166
SRR11869358,20712659,1553449425,75,630,SRX5145214,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP173659,PRJNA510416,32576685,"",SRS4155595,SAMN10604379,simple,10090,Mus musculus,GSM3518167,GEO,SRA824405,06,2020,Anisimova,Liver,liver_20m_3_ribo,Liver,C57BL/6,20 months,Liver,GSM3518167
SRR11869359,57858593,4628687440,80,1950,SRX5145215,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP173659,PRJNA510416,32576685,"",SRS4155596,SAMN10604378,simple,10090,Mus musculus,GSM3518168,GEO,SRA824405,06,2020,Anisimova,Liver,liver_20m_3_rna,Liver,C57BL/6,20 months,Liver,GSM3518168
SRR11869360,43850949,2236398399,51,1561,SRX5145216,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP173659,PRJNA510416,32576685,"",SRS4155597,SAMN10604377,simple,10090,Mus musculus,GSM3518169,GEO,SRA824405,06,2020,Anisimova,Liver,liver_26m_1_ribo,Liver,C57BL/6,26 months,Liver,GSM3518169
SRR11869361,42191506,3164362950,75,1253,SRX5145217,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP173659,PRJNA510416,32576685,"",SRS4155598,SAMN10604376,simple,10090,Mus musculus,GSM3518170,GEO,SRA824405,06,2020,Anisimova,Liver,liver_26m_1_rna,Liver,C57BL/6,26 months,Liver,GSM3518170
SRR11869362,16859746,1264480950,75,506,SRX5145218,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP173659,PRJNA510416,32576685,"",SRS4155599,SAMN10604375,simple,10090,Mus musculus,GSM3518171,GEO,SRA824405,06,2020,Anisimova,Liver,liver_26m_2_ribo,Liver,C57BL/6,26 months,Liver,GSM3518171
SRR11869363,21830195,1637264625,75,690,SRX5145219,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP173659,PRJNA510416,32576685,"",SRS4155600,SAMN10604374,simple,10090,Mus musculus,GSM3518172,GEO,SRA824405,06,2020,Anisimova,Liver,liver_26m_2_rna,Liver,C57BL/6,26 months,Liver,GSM3518172
SRR11869364,9274776,695608200,75,278,SRX5145220,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP173659,PRJNA510416,32576685,"",SRS4155601,SAMN10604373,simple,10090,Mus musculus,GSM3518173,GEO,SRA824405,06,2020,Anisimova,Liver,liver_26m_3_ribo,Liver,C57BL/6,26 months,Liver,GSM3518173
SRR11869365,26356121,1976709075,75,833,SRX5145221,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP173659,PRJNA510416,32576685,"",SRS4155602,SAMN10604372,simple,10090,Mus musculus,GSM3518174,GEO,SRA824405,06,2020,Anisimova,Liver,liver_26m_3_rna,Liver,C57BL/6,26 months,Liver,GSM3518174
SRR11869366,45185405,2304455655,51,1620,SRX5145222,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP173659,PRJNA510416,32576685,"",SRS4155603,SAMN10604371,simple,10090,Mus musculus,GSM3518175,GEO,SRA824405,06,2020,Anisimova,Liver,liver_32m_1_ribo,Liver,C57BL/6,32 months,Liver,GSM3518175
SRR11869367,33806907,2535518025,75,1008,SRX5145223,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP173659,PRJNA510416,32576685,"",SRS4155604,SAMN10604370,simple,10090,Mus musculus,GSM3518176,GEO,SRA824405,06,2020,Anisimova,Liver,liver_32m_1_rna,Liver,C57BL/6,32 months,Liver,GSM3518176
SRR11869368,44324892,2260569492,51,1603,SRX5145224,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP173659,PRJNA510416,32576685,"",SRS4155605,SAMN10604369,simple,10090,Mus musculus,GSM3518177,GEO,SRA824405,06,2020,Anisimova,Liver,liver_32m_2_ribo,Liver,C57BL/6,32 months,Liver,GSM3518177
SRR11869369,59023420,4721873600,80,1975,SRX5145225,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP173659,PRJNA510416,32576685,"",SRS4155606,SAMN10604351,simple,10090,Mus musculus,GSM3518178,GEO,SRA824405,06,2020,Anisimova,Liver,liver_32m_2_rna,Liver,C57BL/6,32 months,Liver,GSM3518178
SRR11869370,19153011,1436475825,75,581,SRX5145226,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP173659,PRJNA510416,32576685,"",SRS4155607,SAMN10604350,simple,10090,Mus musculus,GSM3518179,GEO,SRA824405,06,2020,Anisimova,Liver,liver_32m_3_ribo,Liver,C57BL/6,32 months,Liver,GSM3518179
SRR11869371,38353377,2876503275,75,1138,SRX5145227,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP173659,PRJNA510416,32576685,"",SRS4155608,SAMN10604349,simple,10090,Mus musculus,GSM3518180,GEO,SRA824405,06,2020,Anisimova,Liver,liver_32m_3_rna,Liver,C57BL/6,32 months,Liver,GSM3518180
SRR11869372,44072466,2247695766,51,1539,SRX5145228,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP173659,PRJNA510416,32576685,"",SRS4155609,SAMN10604404,simple,10090,Mus musculus,GSM3518181,GEO,SRA824405,06,2020,Anisimova,Liver,liver_3m_1_ribo,Liver,C57BL/6,3 months,Liver,GSM3518181
SRR11869373,24782949,1858721175,75,786,SRX5145229,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP173659,PRJNA510416,32576685,"",SRS4155610,SAMN10604403,simple,10090,Mus musculus,GSM3518182,GEO,SRA824405,06,2020,Anisimova,Liver,liver_3m_1_rna,Liver,C57BL/6,3 months,Liver,GSM3518182
SRR11869374,30661287,1563725637,51,1125,SRX5145230,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP173659,PRJNA510416,32576685,"",SRS4155611,SAMN10604402,simple,10090,Mus musculus,GSM3518183,GEO,SRA824405,06,2020,Anisimova,Liver,liver_3m_2_ribo,Liver,C57BL/6,3 months,Liver,GSM3518183
SRR11869375,40091356,3006851700,75,1214,SRX5145231,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP173659,PRJNA510416,32576685,"",SRS4155612,SAMN10604401,simple,10090,Mus musculus,GSM3518184,GEO,SRA824405,06,2020,Anisimova,Liver,liver_3m_2_rna,Liver,C57BL/6,3 months,Liver,GSM3518184
SRR11869376,16686799,1251509925,75,500,SRX5145232,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP173659,PRJNA510416,32576685,"",SRS4155613,SAMN10604400,simple,10090,Mus musculus,GSM3518185,GEO,SRA824405,06,2020,Anisimova,Liver,liver_3m_3_ribo,Liver,C57BL/6,3 months,Liver,GSM3518185
SRR11869377,37100936,2782570200,75,1104,SRX5145233,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP173659,PRJNA510416,32576685,"",SRS4155614,SAMN10604399,simple,10090,Mus musculus,GSM3518186,GEO,SRA824405,06,2020,Anisimova,Liver,liver_3m_3_rna,Liver,C57BL/6,3 months,Liver,GSM3518186
