Run,BioProject
ERR1191022,PRJEB12126
ERR1191023,PRJEB12126
ERR1191024,PRJEB12126
ERR1191025,PRJEB12126
ERR1191026,PRJEB12126
ERR1191027,PRJEB12126
ERR1191028,PRJEB12126
ERR1719518,PRJEB17636
ERR1719519,PRJEB17636
ERR1719520,PRJEB17636
ERR1719521,PRJEB17636
ERR1719522,PRJEB17636
ERR1719523,PRJEB17636
ERR1719529,PRJEB17636
ERR1719531,PRJEB17636
ERR1719532,PRJEB17636
ERR1719533,PRJEB17636
ERR1719534,PRJEB17636
ERR1719535,PRJEB17636
ERR1719536,PRJEB17636
ERR1719537,PRJEB17636
ERR1802070,PRJEB19102
ERR1802072,PRJEB19102
ERR1802075,PRJEB19102
ERR1802076,PRJEB19102
ERR1802077,PRJEB19102
ERR1802078,PRJEB19102
ERR1994959,PRJEB21099
ERR1994960,PRJEB21099
ERR1994961,PRJEB21099
ERR1994962,PRJEB21099
ERR1994963,PRJEB21099
ERR1994964,PRJEB21099
ERR1994965,PRJEB21099
ERR1994966,PRJEB21099
ERR1994967,PRJEB21099
ERR1994968,PRJEB21099
ERR1994969,PRJEB21099
ERR1994970,PRJEB21099
ERR1994971,PRJEB21099
ERR1994972,PRJEB21099
ERR1994973,PRJEB21099
ERR1994974,PRJEB21099
ERR2098884,PRJEB21199
ERR2098885,PRJEB21199
ERR2098886,PRJEB21199
ERR2098887,PRJEB21199
ERR2098888,PRJEB21199
ERR2098889,PRJEB21199
ERR2098890,PRJEB21199
ERR2098891,PRJEB21199
ERR2003520,PRJEB21224
ERR2003521,PRJEB21224
ERR2003524,PRJEB21224
ERR2003525,PRJEB21224
ERR2003528,PRJEB21224
ERR2003529,PRJEB21224
ERR2003535,PRJEB21224
ERR2003536,PRJEB21224
ERR2003537,PRJEB21224
ERR2003538,PRJEB21224
ERR2003539,PRJEB21224
ERR2003540,PRJEB21224
ERR2003543,PRJEB21224
ERR2003544,PRJEB21224
ERR2003550,PRJEB21224
ERR2003551,PRJEB21224
ERR2003552,PRJEB21224
ERR2003553,PRJEB21224
ERR2003554,PRJEB21224
ERR2201443,PRJEB23562
ERR2201445,PRJEB23562
ERR2201447,PRJEB23562
ERR2201448,PRJEB23562
ERR2201450,PRJEB23562
ERR2213251,PRJEB23773
ERR2213252,PRJEB23773
ERR2213253,PRJEB23773
ERR2213255,PRJEB23773
ERR2213256,PRJEB23773
ERR2213257,PRJEB23773
ERR2382487,PRJEB25491
ERR2382489,PRJEB25491
ERR2382490,PRJEB25491
ERR2382491,PRJEB25491
ERR2382492,PRJEB25491
ERR2382493,PRJEB25491
ERR2382494,PRJEB25491
ERR2382495,PRJEB25491
ERR2382506,PRJEB25491
ERR2382507,PRJEB25491
ERR2382508,PRJEB25491
ERR2382509,PRJEB25491
ERR2382510,PRJEB25491
ERR2382511,PRJEB25491
ERR2382512,PRJEB25491
ERR2382513,PRJEB25491
ERR2382519,PRJEB25491
ERR2382520,PRJEB25491
ERR2382527,PRJEB25491
ERR2382535,PRJEB25491
ERR2382537,PRJEB25491
